cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3028688499744837,0.0002829650464962,0.01
10,Li7,"(n,Xt)",0.0866987448250044,0.0001815777657066,0.01
6,Li6,"(n,Xt)",0.0010286017176565,2.5925294973242373e-06,0.01
6,Li7,"(n,Xt)",0.0213567039622329,2.6135828342382265e-05,0.01
20,Li6,"(n,Xt)",0.9883815716938952,0.0009350935857236,7.5
20,Li7,"(n,Xt)",0.0797648758926137,0.0001900733466182,7.5
17,Li6,"(n,Xt)",0.1107717043514118,0.0002487198439803,7.5
17,Li7,"(n,Xt)",0.0197666061738201,2.441943254941128e-05,7.5
30,Li6,"(n,Xt)",1.0030995032980816,0.00137479664269,15.0
30,Li7,"(n,Xt)",0.0729216046098487,0.000155644288181,15.0
27,Li6,"(n,Xt)",0.1465862472548209,0.000394754486584,15.0
27,Li7,"(n,Xt)",0.0181847023289878,2.28511566735952e-05,15.0
37,Li7,"(n,Xt)",0.0160491900540642,1.7748444335941335e-05,25.0
37,Li6,"(n,Xt)",0.1764850654870133,0.0004295900939084,25.0
40,Li7,"(n,Xt)",0.0638826275167943,0.0001323204369987,25.0
40,Li6,"(n,Xt)",1.0059489737779854,0.0009148221064649,25.0
50,Li6,"(n,Xt)",0.9959537604836604,0.0008243534747836,50.0
50,Li7,"(n,Xt)",0.0418460486658637,8.017143038650289e-05,50.0
47,Li6,"(n,Xt)",0.223141939462803,0.0004738364106381,50.0
47,Li7,"(n,Xt)",0.0107240661330264,1.2873669622371702e-05,50.0
60,Li6,"(n,Xt)",0.9843586087018188,0.0012429377649233,75.0
60,Li7,"(n,Xt)",0.0205612262119666,4.075715766360553e-05,75.0
57,Li6,"(n,Xt)",0.2526575614375012,0.0005639846845817,75.0
57,Li7,"(n,Xt)",0.0053722767397461,6.753690255641956e-06,75.0
70,Li6,"(n,Xt)",0.9723359791115512,0.0009820001806269,99.99
70,Li7,"(n,Xt)",8.087007606947431e-06,1.4795557244310689e-08,99.99
67,Li6,"(n,Xt)",0.2750508899669367,0.0004106100663313,99.99
67,Li7,"(n,Xt)",2.1530517137254823e-06,2.738623452540574e-09,99.99
